Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
25450	-2414.5324866406168	-2387.6868238995094	-26.84566274110743	0.17660863730530096	6.811356897018366	2.4208419168712726E9
25500	-2417.207774200136	-2389.546712807123	-27.661061393013036	0.18128161917626034	6.834126239155695	5.096717792712947E9
25550	-2413.5904373796207	-2387.330850869799	-26.25958650982131	0.18416524735153084	5.501211939808567	2.1061459139323099E9
25600	-2414.9792553199886	-2389.3531035735327	-25.626151746455946	0.09403100826613112	6.0684411849709505	1.9556083588425078E9
25650	-2414.120026390011	-2387.533054199729	-26.586972190282005	0.18609925093081184	5.5454798553017355	2.9866601922244225E9
25700	-2415.9022382158428	-2387.779888559338	-28.122349656505094	0.21403515699151923	6.044967609642413	1.2276685742364748E10
25750	-2416.76447278305	-2388.312888102403	-28.451584680647137	0.053357019098266886	6.494035387757713	2.6599804530800175E10
25800	-2419.3428748196043	-2389.912525490538	-29.430349329066274	0.06198097853303424	5.115285155770817	3.817160302847347E10
25850	-2420.1855712465463	-2389.668835271216	-30.51673597533042	0.17237704025632022	5.531161384255792	1.6262490843388248E11
25900	-2419.718341640895	-2388.461490162574	-31.256851478320616	0.16983895388946654	5.511927375669185	3.387910942646316E11
25950	-2419.3588166127106	-2387.3301848434867	-32.028631769224035	0.16983895388946654	5.755369340607986	8.35517125496156E11
26000	-2420.374140755867	-2387.597518401879	-32.776622353987754	0.1467114992903183	5.651033999607791	1.9179329443693164E12
26050	-2424.746128316952	-2389.2892460295816	-35.45688228737029	0.07739075332919469	7.2856886474749984	1.2238278570487031E13
26100	-2422.1321476655644	-2387.359012522207	-34.77313514335704	0.17815728917078003	5.7170887946892	1.2238278570487031E13
26150	-2421.9864870159327	-2387.4781815301126	-34.508305485819946	0.14239842096372263	7.179519153934673	3.970736938791246E12
26200	-2420.8582556523825	-2387.400207879914	-33.45804777246853	0.163532717358512	6.016390103440806	3.670087057926732E12
26250	-2422.0540093523964	-2388.596145382039	-33.45786397035719	0.0752218083587717	7.155654584231728	2.021021117494565E12
26300	-2424.0001800900045	-2390.3129400718512	-33.68724001815342	0.2743872185297052	5.879533659687604	2.021021117494565E12
26350	-2418.5317920311054	-2387.5726970902083	-30.95909494089701	0.14848321482682797	6.037528975616909	3.2828955747903503E11
26400	-2420.5763655351116	-2388.7535033996305	-31.82286213548116	0.19825789278859532	5.272665025109765	4.0306248882346387E11
26450	-2420.977493017266	-2389.3227144471166	-31.65477857014974	0.19825789278859532	5.630399625287805	4.6323688355385266E11
26500	-2421.766081992588	-2388.698577821386	-33.06750417120212	0.0707616373801392	6.613180127694718	2.592061437117529E12
26550	-2421.4326708107806	-2389.8131947021143	-31.619476108666472	0.023924412925819837	6.41486605395504	4.385501148069554E11
26600	-2420.359080204619	-2387.5760669938422	-32.783013210777	0.29319557193508705	5.3390118980770085	5.96702242297112E11
26650	-2420.0419841379944	-2387.585638678019	-32.45634545997533	0.2209391513925103	5.063377052230113	4.867410368379151E11
26700	-2420.2481340302575	-2387.7628669893434	-32.48526704091397	0.13503177865583704	5.00376557447051	6.63235139467603E11
26750	-2424.748849258362	-2390.331030837514	-34.417818420848135	0.408625221172204	5.412825280814137	1.25163892679637E12
26800	-2426.7295764568316	-2388.6569868996485	-38.0725895571833	0.4347238886293539	4.735193028607072	1.5807165660381273E13
26850	-2421.3006186875177	-2388.1202782811815	-33.180340406336214	0.25676964739532243	5.550402224945771	1.338925210963618E12
26900	-2420.5579437957545	-2387.385406598885	-33.172537196869804	0.3227193286241491	5.537593094212828	7.921187133346813E11
26950	-2421.5767553987575	-2389.415497204117	-32.16125819464075	0.059645458116521416	5.7847597716133885	1.2424575857624102E12
27000	-2418.061982108255	-2387.637642135923	-30.424339972331637	0.08608653518912512	5.493867113939358	1.8992520466056744E11
27050	-2419.799245932144	-2387.60608009278	-32.19316583936433	0.11828752264693472	5.326793841557205	8.872758561173746E11
27100	-2420.4255602364806	-2389.4742075715603	-30.95135266492025	0.2591838126838315	6.1150807315940865	1.3792532180442075E11
27150	-2418.281039107174	-2387.9077994787376	-30.373239628436316	0.3029702835848951	6.502790466994923	3.708835262401372E10
27200	-2413.1243662271118	-2387.517067719671	-25.607298507440426	0.08428212788821692	6.637066624224126	1.4447944646683433E9
27250	-2415.080858503074	-2389.41628583353	-25.664572669544214	0.2064426480744403	5.52317351039578	1.0366534672245198E9
27300	-2417.862607975592	-2388.9954666903827	-28.867141285209208	0.05329949308362177	6.722737725416735	3.355158956855449E10
27350	-2420.4186340153037	-2389.628425830806	-30.790208184497562	0.05329949308362177	5.386674277407494	2.169485501599082E11
27400	-2422.051680201066	-2390.302233152651	-31.74944704841517	0.02248552561899833	7.183597604404816	2.2785574706415747E11
27450	-2419.765711884248	-2387.9235538626053	-31.84215802164271	0.08550543901395118	5.450367594691493	7.494315329144545E11
27500	-2420.0139507046742	-2389.5988294214635	-30.415121283210674	0.13776856188690995	5.8558120571737025	2.0299935501288715E11
27550	-2419.5621186816365	-2388.9769276750985	-30.585191006538	0.06827387066278785	5.43135579518474	2.0299935501288715E11
27600	-2421.090871034236	-2388.122054324474	-32.96881670976211	0.12136703977895048	6.795577365734172	1.6670874091610786E12
27650	-2422.0213294480045	-2389.4561393948743	-32.565190053130216	0.22003502988236323	5.000723328058422	4.791705776361393E11
27700	-2421.0551941674917	-2389.1463330096576	-31.90886115783394	0.23656160578572472	5.336935617007175	3.6664232828945654E11
27750	-2418.9077847343865	-2387.4931927130942	-31.41459202129245	0.08969176580198414	4.843432444494477	1.6298755254243164E11
27800	-2416.3568850630213	-2387.430115782955	-28.926769280066356	0.13789191540972315	5.833571108519951	4.540239276658256E10
27850	-2416.307886469331	-2387.9055369354464	-28.40234953388473	0.06252195083782512	5.723718853528206	2.8498331849088017E10
27900	-2415.5101854757354	-2387.999289591416	-27.510895884319336	0.25454437878004477	5.628731841734968	4.871242638645281E9
27950	-2416.040775011119	-2387.613583608525	-28.427191402593827	0.27216037066818327	5.2501504535761905	8.067924636154327E9
28000	-2419.949968890195	-2387.708001185724	-32.24196770447114	0.3216833014688648	4.5562758265356225	6.20495995138251E10
28050	-2416.8190051884612	-2387.4404831535203	-29.378522034940865	0.18216060416291888	5.126579461748574	3.071898136623123E10
28100	-2416.0465798977284	-2387.6512561037976	-28.395323793930647	0.223071399867796	5.84835911093938	1.5554806834983046E10
28150	-2415.1008224569177	-2387.8312346376124	-27.26958781930529	0.13021925399588358	5.9705911054587695	9.039055532942225E9
28200	-2415.067138914532	-2387.5753200403374	-27.49181887419455	0.08752687034838488	5.6157258377640416	1.1223148219533972E10
